document_id,authority,original_filename,original_stem,original_extension,original_relative_path
KSA_096,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_starscream_limited_17807_01-350-415_invorderingsbesluit_20250904.md,KSA__https___kansspelautoriteit.nl_sites_default_files_starscream_limited_17807_01-350-415_invorderingsbesluit_20250904,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_starscream_limited_17807_01-350-415_invorderingsbesluit_20250904.md
KSA_097,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_starscream_limited_17807_besluit_lod_20250121.md,KSA__https___kansspelautoriteit.nl_sites_default_files_starscream_limited_17807_besluit_lod_20250121,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_starscream_limited_17807_besluit_lod_20250121.md
KSA_098,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_techo_offshore_limited_17393_invorderingsbesluit_20250526.md,KSA__https___kansspelautoriteit.nl_sites_default_files_techo_offshore_limited_17393_invorderingsbesluit_20250526,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_techo_offshore_limited_17393_invorderingsbesluit_20250526.md
KSA_099,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_winning_poker_network_15993_besluit_boete_20241217.pdf.md,KSA__https___kansspelautoriteit.nl_sites_default_files_winning_poker_network_15993_besluit_boete_20241217.pdf,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_winning_poker_network_15993_besluit_boete_20241217.pdf.md
KSA_100,KSA,KSA_https___kansspelautoriteit.nl_sites_default_files_00_082_720_openbare_versie_last_onder_bestuursdwang.pdf.md,KSA_https___kansspelautoriteit.nl_sites_default_files_00_082_720_openbare_versie_last_onder_bestuursdwang.pdf,.md,full_text\KSA_https___kansspelautoriteit.nl_sites_default_files_00_082_720_openbare_versie_last_onder_bestuursdwang.pdf.md
ROT_001,ROT,ROT_0e_rotterdam-centrum_Vergunning.md,ROT_0e_rotterdam-centrum_Vergunning,.md,full_text\ROT_0e_rotterdam-centrum_Vergunning.md
ROT_002,ROT,ROT_1071e_charlois_Vergunning.md,ROT_1071e_charlois_Vergunning,.md,full_text\ROT_1071e_charlois_Vergunning.md
ROT_003,ROT,ROT_116e_rotterdam-centrum_Vergunning.md,ROT_116e_rotterdam-centrum_Vergunning,.md,full_text\ROT_116e_rotterdam-centrum_Vergunning.md
ROT_004,ROT,ROT_1176e_charlois_Vergunning.md,ROT_1176e_charlois_Vergunning,.md,full_text\ROT_1176e_charlois_Vergunning.md
ROT_005,ROT,ROT_1205e_delfshaven_Vergunning.md,ROT_1205e_delfshaven_Vergunning,.md,full_text\ROT_1205e_delfshaven_Vergunning.md
ROT_006,ROT,ROT_1217e_delfshaven_Vergunning.md,ROT_1217e_delfshaven_Vergunning,.md,full_text\ROT_1217e_delfshaven_Vergunning.md
ROT_007,ROT,ROT_1230e_delfshaven_Vergunning.md,ROT_1230e_delfshaven_Vergunning,.md,full_text\ROT_1230e_delfshaven_Vergunning.md
ROT_008,ROT,ROT_1255e_delfshaven_Vergunning.md,ROT_1255e_delfshaven_Vergunning,.md,full_text\ROT_1255e_delfshaven_Vergunning.md
ROT_009,ROT,ROT_127e_rotterdam-centrum_Vergunning.md,ROT_127e_rotterdam-centrum_Vergunning,.md,full_text\ROT_127e_rotterdam-centrum_Vergunning.md
ROT_010,ROT,ROT_1284e_delfshaven_Vergunning.md,ROT_1284e_delfshaven_Vergunning,.md,full_text\ROT_1284e_delfshaven_Vergunning.md
ROT_011,ROT,ROT_132e_rotterdam-centrum_Vergunning.md,ROT_132e_rotterdam-centrum_Vergunning,.md,full_text\ROT_132e_rotterdam-centrum_Vergunning.md
ROT_012,ROT,ROT_1518e_delfshaven_Vergunning.md,ROT_1518e_delfshaven_Vergunning,.md,full_text\ROT_1518e_delfshaven_Vergunning.md
ROT_013,ROT,ROT_1541e_delfshaven_Vergunning.md,ROT_1541e_delfshaven_Vergunning,.md,full_text\ROT_1541e_delfshaven_Vergunning.md
ROT_014,ROT,ROT_1565e_delfshaven_Vergunning.md,ROT_1565e_delfshaven_Vergunning,.md,full_text\ROT_1565e_delfshaven_Vergunning.md
